Variable,Restrictions,content map,category tab,section,role(s),id,name,label,dbo,control,type,options / datalist,placeholder / caption,value / default,size,maxlength,min,max,spellcheck,required,reqmsg,helpmsg,validation,pattern (regexp),title / invalid msg,transforms,triggers,assumptions,autofocus,autocomplete,bookpage(s),FrontCover,BackCover,Spine,Congradulations,TOC,fieldofplay,School,Athletic_Director,coaches photo,team photo,CoachQuote,Head_Coach,Coaches_Corner,People_Made_Difference,Player_Facts,Player_Stories,Letter_Player-to-Parent,Letter_Parent-to-Player,Memory_Notes,Favorite_Photos,Teammates_Remember,TeamMatesProfile,PlayerQuote
{{CheerleadersCaption8}},min 1; max 85,cheerleaders.photo_108.caption,Team Profile,CheerleadersProfileSection,Leader,108_txtCheerleadersPhotoCaption,CheerleadersPhotoCaption8,,,input,text,,,,85,,,,,,,,,,,,trigCheerleadersPhotoCaptionOnChange,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{BandSectionTitle}},required; min 1; max 50,band.section.title,Team Profile,BandProfileSection,Leader,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{BandSectionHeadline}},,band.section.headline,Team Profile,BandProfileSection,Leader,,,,,,,,,Band Profile (Optional),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{BandSectionSubhead}},,band.section.subhead,Team Profile,BandProfileSection,Leader,,,,,,,,,Make the joy of the band’s music a part of your’s Boys Basketball memories.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{BandPageTitle}},required; min 1; max 50,band.page.title,Team Profile,BandProfileSection,Leader,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{BandStory}},required; max 70,band.story,Team Profile,BandProfileSection,Leader,txtBandStory,BandStory,Band Story,,input,text,,,Headline: Band Memories (Optional),70,,,,,,,,,,,,trigCheerleadersPhotoCaptionOnChange,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{BandPhoto1}},,band.photo_101.image,Team Profile,BandProfileSection,Leader,101_imgBandPhoto,BandPhotoImage1,,,input,file,,,,,,,,,,,,,,,,trigCheerleadersPhotoImageOnChange,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{BandCaption1}},min 1; max 85,band.photo_101.caption,Team Profile,BandProfileSection,Leader,101_txtBandPhotoCaption,BandPhotoCaption1,,,input,text,,,"Subhead: Playing with enthusiasm, they were part of the season.",85,,,,,,,,,,,,trigCheerleadersPhotoCaptionOnChange,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{BandPhoto2}},,band.photo_102.image,Team Profile,BandProfileSection,Leader,102_imgBandPhoto,BandPhotoImage2,,,input,file,,,,,,,,,,,,,,,,trigCheerleadersPhotoImageOnChange,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{BandCaption2}},min 1; max 85,band.photo_102.caption,Team Profile,BandProfileSection,Leader,102_txtBandPhotoCaption,BandPhotoCaption2,,,input,text,,,Caption: Choose up to 8 interesting band photos—included in everyone’s MemoryBook.,85,,,,,,,,,,,,trigCheerleadersPhotoCaptionOnChange,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{BandPhoto3}},,band.photo_101.image,Team Profile,BandProfileSection,Leader,103_imgBandPhoto,BandPhotoImage3,,,input,file,,,,,,,,,,,,,,,,trigCheerleadersPhotoImageOnChange,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{BandCaption3}},min 1; max 85,band.photo_101.caption,Team Profile,BandProfileSection,Leader,103_txtBandPhotoCaption,BandPhotoCaption3,,,input,text,,,Layout: 8 photo and 8 caption layout,85,,,,,,,,,,,,trigCheerleadersPhotoCaptionOnChange,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{BandPhoto4}},,band.photo_102.image,Team Profile,BandProfileSection,Leader,104_imgBandPhoto,BandPhotoImage4,,,input,file,,,,,,,,,,,,,,,,trigCheerleadersPhotoImageOnChange,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{SeasonMemoriesCaption4}},min 1; max 85,band.photo_102.caption,Team Profile,BandProfileSection,Leader,104_txtBandPhotoCaption,BandPhotoCaption4,,,input,text,,,,85,,,,,,,,,,,,trigCheerleadersPhotoCaptionOnChange,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{BandPhoto1}},,band.photo_101.image,Team Profile,BandProfileSection,Leader,101_imgBandPhoto,BandPhotoImage1,,,input,file,,,,,,,,,,,,,,,,trigCheerleadersPhotoImageOnChange,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{BandCaption1}},min 1; max 85,band.photo_101.caption,Team Profile,BandProfileSection,Leader,101_txtBandPhotoCaption,BandPhotoCaption1,,,input,text,,,,85,,,,,,,,,,,,trigCheerleadersPhotoCaptionOnChange,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{BandPhoto2}},,band.photo_102.image,Team Profile,BandProfileSection,Leader,102_imgBandPhoto,BandPhotoImage2,,,input,file,,,,,,,,,,,,,,,,trigCheerleadersPhotoImageOnChange,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{BandCaption2}},min 1; max 85,band.photo_102.caption,Team Profile,BandProfileSection,Leader,102_txtBandPhotoCaption,BandPhotoCaption2,,,input,text,,,,85,,,,,,,,,,,,trigCheerleadersPhotoCaptionOnChange,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{BandPhoto3}},,band.photo_101.image,Team Profile,BandProfileSection,Leader,103_imgBandPhoto,BandPhotoImage3,,,input,file,,,,,,,,,,,,,,,,trigCheerleadersPhotoImageOnChange,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{BandCaption3}},min 1; max 85,band.photo_101.caption,Team Profile,BandProfileSection,Leader,103_txtBandPhotoCaption,BandPhotoCaption3,,,input,text,,,,85,,,,,,,,,,,,trigCheerleadersPhotoCaptionOnChange,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{BandPhoto4}},,band.photo_102.image,Team Profile,BandProfileSection,Leader,104_imgBandPhoto,BandPhotoImage4,,,input,file,,,,,,,,,,,,,,,,trigCheerleadersPhotoImageOnChange,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{BandCaption4}},min 1; max 85,band.photo_102.caption,Team Profile,BandProfileSection,Leader,104_txtBandPhotoCaption,BandPhotoCaption4,,,input,text,,,,85,,,,,,,,,,,,trigCheerleadersPhotoCaptionOnChange,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{SeasonMemoriesSectionTitle}},required; min 1; max 50,seasonmemories.section.title,Team Profile,SeasonMemoriesSection,Leader,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{SeasonMemoriesSectionHeadline}},,seasonmemories.section.headline,Team Profile,SeasonMemoriesSection,Leader,,,,,,,,,Our Season...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{SeasonMemoriesSectionSubhead}},,seasonmemories.section.subhead,Team Profile,SeasonMemoriesSection,Leader,,,,,,,,,Full of Unforgettable Memories,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{SeasonMemoriesPageTitle}},required; min 1; max 50,seasonmemories.page.title,Team Profile,SeasonMemoriesSection,Leader,,,,,,,,,Headline: Season Memories (Optional),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{SeasonMemoriesPhoto1}},,seasonmemories.photo_101.image,Team Profile,SeasonMemoriesSection,Leader,101_imgSeasonMemoriesPhoto,SeasonMemoriesPhotoImage1,,,input,file,,,"Subhead: Everyone played a role in the season, now is the time to preserve the memories.",,,,,,,,,,,,,trigCheerleadersPhotoImageOnChange,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{SeasonMemoriesCaption1}},min 1; max 85,seasonmemories.photo_101.caption,Team Profile,SeasonMemoriesSection,Leader,101_txtSeasonMemoriesPhotoCaption,SeasonMemoriesPhotoCaption1,,,input,text,,,Caption: Choose up to 16 of the best season photos—included in everyone’s MemoryBook.,85,,,,,,,,,,,,trigCheerleadersPhotoCaptionOnChange,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{SeasonMemoriesPhoto2}},,seasonmemories.photo_102.image,Team Profile,SeasonMemoriesSection,Leader,102_imgSeasonMemoriesPhoto,SeasonMemoriesPhotoImage2,,,input,file,,,Layout: 16 photo and 16 caption layout,,,,,,,,,,,,,trigCheerleadersPhotoImageOnChange,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{SeasonMemoriesCaption2}},min 1; max 85,seasonmemories.photo_102.caption,Team Profile,SeasonMemoriesSection,Leader,102_txtSeasonMemoriesPhotoCaption,SeasonMemoriesPhotoCaption2,,,input,text,,,,85,,,,,,,,,,,,trigCheerleadersPhotoCaptionOnChange,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{SeasonMemoriesPhoto3}},,seasonmemories.photo_103.image,Team Profile,SeasonMemoriesSection,Leader,103_imgSeasonMemoriesPhoto,SeasonMemoriesPhotoImage3,,,input,file,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{SeasonMemoriesCaption3}},min 1; max 85,seasonmemories.photo_103.caption,Team Profile,SeasonMemoriesSection,Leader,103_txtSeasonMemoriesPhotoCaption,SeasonMemoriesPhotoCaption3,,,input,text,,,,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{SeasonMemoriesPhoto4}},,seasonmemories.photo_104.image,Team Profile,SeasonMemoriesSection,Leader,104_imgSeasonMemoriesPhoto,SeasonMemoriesPhotoImage4,,,input,file,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{SeasonMemoriesCaption4}},min 1; max 85,seasonmemories.photo_104.caption,Team Profile,SeasonMemoriesSection,Leader,104_txtSeasonMemoriesPhotoCaption,SeasonMemoriesPhotoCaption4,,,input,text,,,,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{SeasonMemoriesPhoto5}},,seasonmemories.photo_105.image,Team Profile,SeasonMemoriesSection,Leader,105_imgSeasonMemoriesPhoto,SeasonMemoriesPhotoImage5,,,input,file,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{SeasonMemoriesCaption5}},min 1; max 85,seasonmemories.photo_105.caption,Team Profile,SeasonMemoriesSection,Leader,105_txtSeasonMemoriesPhotoCaption,SeasonMemoriesPhotoCaption5,,,input,text,,,,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{SeasonMemoriesPhoto6}},,seasonmemories.photo_106.image,Team Profile,SeasonMemoriesSection,Leader,106_imgSeasonMemoriesPhoto,SeasonMemoriesPhotoImage6,,,input,file,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{SeasonMemoriesCaption26},min 1; max 85,seasonmemories.photo_106.caption,Team Profile,SeasonMemoriesSection,Leader,106_txtSeasonMemoriesPhotoCaption,SeasonMemoriesPhotoCaption6,,,input,text,,,,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{SeasonMemoriesPhoto7}},,seasonmemories.photo_107.image,Team Profile,SeasonMemoriesSection,Leader,107_imgSeasonMemoriesPhoto,SeasonMemoriesPhotoImage7,,,input,file,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{SeasonMemoriesCaption7}},min 1; max 85,seasonmemories.photo_107.caption,Team Profile,SeasonMemoriesSection,Leader,107_txtSeasonMemoriesPhotoCaption,SeasonMemoriesPhotoCaption7,,,input,text,,,,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{SeasonMemoriesPhoto8}},,seasonmemories.photo_108.image,Team Profile,SeasonMemoriesSection,Leader,108_imgSeasonMemoriesPhoto,SeasonMemoriesPhotoImage8,,,input,file,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{SeasonMemoriesCaption8}},min 1; max 85,seasonmemories.photo_108.caption,Team Profile,SeasonMemoriesSection,Leader,108_txtSeasonMemoriesPhotoCaption,SeasonMemoriesPhotoCaption8,,,input,text,,,,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SeasonMemoriesPhotoImage9,,seasonmemories.photo_109.image,Team Profile,SeasonMemoriesSection,Leader,109_imgSeasonMemoriesPhoto,SeasonMemoriesPhotoImage9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SeasonMemoriesPhotoCaption9,max 85,seasonmemories.photo_109.caption,Team Profile,SeasonMemoriesSection,Leader,109_txtSeasonMemoriesPhotoCaption,SeasonMemoriesPhotoCaption9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SeasonMemoriesPhotoImage10,,seasonmemories.photo_110.image,Team Profile,SeasonMemoriesSection,Leader,110_imgSeasonMemoriesPhoto,SeasonMemoriesPhotoImage10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SeasonMemoriesPhotoCaption10,max 85,seasonmemories.photo_11.caption,Team Profile,SeasonMemoriesSection,Leader,110_txtSeasonMemoriesPhotoCaption,SeasonMemoriesPhotoCaption10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SeasonMemoriesPhotoImage11,,seasonmemories.photo_111.image,Team Profile,SeasonMemoriesSection,Leader,111_imgSeasonMemoriesPhoto,SeasonMemoriesPhotoImage11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SeasonMemoriesPhotoCaption11,max 85,seasonmemories.photo_111.caption,Team Profile,SeasonMemoriesSection,Leader,111_txtSeasonMemoriesPhotoCaption,SeasonMemoriesPhotoCaption11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SeasonMemoriesPhotoImage12,,seasonmemories.photo_112.image,Team Profile,SeasonMemoriesSection,Leader,112_imgSeasonMemoriesPhoto,SeasonMemoriesPhotoImage12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SeasonMemoriesPhotoCaption12,max 85,seasonmemories.photo_112.caption,Team Profile,SeasonMemoriesSection,Leader,112_txtSeasonMemoriesPhotoCaption,SeasonMemoriesPhotoCaption12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SeasonMemoriesPhotoImage13,,seasonmemories.photo_113.image,Team Profile,SeasonMemoriesSection,Leader,113_imgSeasonMemoriesPhoto,SeasonMemoriesPhotoImage13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SeasonMemoriesPhotoCaption13,max 85,seasonmemories.photo_113.caption,Team Profile,SeasonMemoriesSection,Leader,113_txtSeasonMemoriesPhotoCaption,SeasonMemoriesPhotoCaption13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SeasonMemoriesPhotoImage14,,seasonmemories.photo_114.image,Team Profile,SeasonMemoriesSection,Leader,114_imgSeasonMemoriesPhoto,SeasonMemoriesPhotoImage14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SeasonMemoriesPhotoCaption14,max 85,seasonmemories.photo_114.caption,Team Profile,SeasonMemoriesSection,Leader,114_txtSeasonMemoriesPhotoCaption,SeasonMemoriesPhotoCaption14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SeasonMemoriesPhotoImage15,,seasonmemories.photo_115.image,Team Profile,SeasonMemoriesSection,Leader,115_imgSeasonMemoriesPhoto,SeasonMemoriesPhotoImage15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SeasonMemoriesPhotoCaption15,max 85,seasonmemories.photo_115.caption,Team Profile,SeasonMemoriesSection,Leader,115_txtSeasonMemoriesPhotoCaption,SeasonMemoriesPhotoCaption15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SeasonMemoriesPhotoImage16,,seasonmemories.photo_116.image,Team Profile,SeasonMemoriesSection,Leader,116_imgSeasonMemoriesPhoto,SeasonMemoriesPhotoImage16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SeasonMemoriesPhotoCaption16,max 85,seasonmemories.photo_116.caption,Team Profile,SeasonMemoriesSection,Leader,116_txtSeasonMemoriesPhotoCaption,SeasonMemoriesPhotoCaption16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{SchoolFirstLetter}},min 1; max 1,seasonmemories.organization.firstletter,Team Setup,SchoolInformationSection,Leader,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{SeniorTributeSectionTitle}},required; min 1; max 50,seniortribute.section.title,Team Profile,SeniorTributeSection,Leader,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{SeniorTributeSectionHeadline}},,seniortribute.section.headline,Team Profile,SeniorTributeSection,Leader,,,,,,,,,Headline: Senior Memories (Optional),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{SeniorTributeSectionSubhead}},,seniortribute.section.subhead,Team Profile,SeniorTributeSection,Leader,,,,,,,,,Subhead: Everyone wants the seniors to stand out and be remembered.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{SeniorTributePageTitle}},required; min 1; max 50,seniortribute.page.title,Team Profile,SeniorTributeSection,Leader,,,,,,,,,Caption: Choose up to 16 of the best senior photos—included in everyone’s MemoryBook.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{SeniorTributePhoto1}},,seniortribute.photo_101.image,Team Profile,SeniorTributeSection,Leader,101_imgSeniorTributePhoto,SeniorTributeImage1,,,input,file,,,Layout: 16 photo and 16 caption layout,,,,,,,,,,,,,trigSeniorMemoriesPhotoImageOnChange,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{SeniorTributeCaption1}},min 1; max 85,seniortribute.photo_101.caption,Team Profile,SeniorTributeSection,Leader,101_txtSeniorTributeCaption,SeniorTributePhotoCaption1,,,input,text,,,,85,,,,,,,,,,,,trigSeniorMemoriesPhotoCaptionOnChange,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{SeniorTributePhoto2}},,seniortribute.photo_102.image,Team Profile,SeniorTributeSection,Leader,102_imgSeniorTributePhoto,SeniorTributeImage2,,,input,file,,,,,,,,,,,,,,,,trigSeniorMemoriesPhotoImageOnChange,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{SeniorTributeCaption2}},min 1; max 85,seniortribute.photo_102.caption,Team Profile,SeniorTributeSection,Leader,102_txtSeniorTributePhotoCaption,SeniorTributeCaption2,,,input,text,,,,85,,,,,,,,,,,,trigSeniorMemoriesPhotoCaptionOnChange,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{SeniorTributePhoto3}},,seniortribute.photo_103.image,Team Profile,SeniorTributeSection,Leader,103_imgSeniorTributePhoto,SeniorTributeImage1,,,input,file,,,Layout: 16 photo and 16 caption layout,,,,,,,,,,,,,trigSeniorMemoriesPhotoImageOnChange,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{SeniorTributeCaption3}},min 1; max 85,seniortribute.photo_103.caption,Team Profile,SeniorTributeSection,Leader,103_txtSeniorTributeCaption,SeniorTributePhotoCaption1,,,input,text,,,,85,,,,,,,,,,,,trigSeniorMemoriesPhotoCaptionOnChange,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{SeniorTributePhoto4}},,seniortribute.photo_104.image,Team Profile,SeniorTributeSection,Leader,104_imgSeniorTributePhoto,SeniorTributeImage2,,,input,file,,,,,,,,,,,,,,,,trigSeniorMemoriesPhotoImageOnChange,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{SeniorTributeCaption4}},min 1; max 85,seniortribute.photo_104.caption,Team Profile,SeniorTributeSection,Leader,104_txtSeniorTributePhotoCaption,SeniorTributeCaption2,,,input,text,,,,85,,,,,,,,,,,,trigSeniorMemoriesPhotoCaptionOnChange,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{SeniorTributePhoto5}},,seniortribute.photo_101.image,Team Profile,SeniorTributeSection,Leader,101_imgSeniorTributePhoto,SeniorTributeImage1,,,input,file,,,Layout: 16 photo and 16 caption layout,,,,,,,,,,,,,trigSeniorMemoriesPhotoImageOnChange,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{SeniorTributeCaption5}},min 1; max 85,seniortribute.photo_101.caption,Team Profile,SeniorTributeSection,Leader,101_txtSeniorTributeCaption,SeniorTributePhotoCaption1,,,input,text,,,,85,,,,,,,,,,,,trigSeniorMemoriesPhotoCaptionOnChange,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{SeniorTributePhoto6}},,seniortribute.photo_102.image,Team Profile,SeniorTributeSection,Leader,102_imgSeniorTributePhoto,SeniorTributeImage2,,,input,file,,,,,,,,,,,,,,,,trigSeniorMemoriesPhotoImageOnChange,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{SeniorTributeCaption6}},min 1; max 85,seniortribute.photo_102.caption,Team Profile,SeniorTributeSection,Leader,102_txtSeniorTributePhotoCaption,SeniorTributeCaption2,,,input,text,,,,85,,,,,,,,,,,,trigSeniorMemoriesPhotoCaptionOnChange,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{SeniorTributePhoto7}},,seniortribute.photo_103.image,Team Profile,SeniorTributeSection,Leader,103_imgSeniorTributePhoto,SeniorTributeImage1,,,input,file,,,Layout: 16 photo and 16 caption layout,,,,,,,,,,,,,trigSeniorMemoriesPhotoImageOnChange,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{SeniorTributeCaption7}},min 1; max 85,seniortribute.photo_103.caption,Team Profile,SeniorTributeSection,Leader,103_txtSeniorTributeCaption,SeniorTributePhotoCaption1,,,input,text,,,,85,,,,,,,,,,,,trigSeniorMemoriesPhotoCaptionOnChange,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{SeniorTributePhoto8}},,seniortribute.photo_104.image,Team Profile,SeniorTributeSection,Leader,104_imgSeniorTributePhoto,SeniorTributeImage2,,,input,file,,,,,,,,,,,,,,,,trigSeniorMemoriesPhotoImageOnChange,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{SeniorTributeCaption8}},min 1; max 85,seniortribute.photo_104.caption,Team Profile,SeniorTributeSection,Leader,104_txtSeniorTributePhotoCaption,SeniorTributeCaption2,,,input,text,,,,85,,,,,,,,,,,,trigSeniorMemoriesPhotoCaptionOnChange,,,,,,,,,,,,,,,,,,,,,,,,,,,
SeniorTributePhotoImage9,,seniortribute.photo_109.image,Team Profile,SeniorTributeSection,Leader,109_imgSeniorTributePhoto,SeniorTributePhotoImage9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SeniorTributePhotoCaption9,max 85,seniortribute.photo_109.caption,Team Profile,SeniorTributeSection,Leader,109_txtSeniorTributePhotoCaption,SeniorTributePhotoCaption9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SeniorTributePhotoImage10,,seniortribute.photo_110.image,Team Profile,SeniorTributeSection,Leader,110_imgSeniorTributePhoto,SeniorTributePhotoImage10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SeniorTributePhotoCaption10,max 85,seniortribute.photo_11.caption,Team Profile,SeniorTributeSection,Leader,110_txtSeniorTributePhotoCaption,SeniorTributePhotoCaption10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SeniorTributePhotoImage11,,seniortribute.photo_111.image,Team Profile,SeniorTributeSection,Leader,111_imgSeniorTributePhoto,SeniorTributePhotoImage11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SeniorTributePhotoCaption11,max 85,seniortribute.photo_111.caption,Team Profile,SeniorTributeSection,Leader,111_txtSeniorTributePhotoCaption,SeniorTributePhotoCaption11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SeniorTributePhotoImage12,,seniortribute.photo_112.image,Team Profile,SeniorTributeSection,Leader,112_imgSeniorTributePhoto,SeniorTributePhotoImage12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SeniorTributePhotoCaption12,max 85,seniortribute.photo_112.caption,Team Profile,SeniorTributeSection,Leader,112_txtSeniorTributePhotoCaption,SeniorTributePhotoCaption12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SeniorTributePhotoImage13,,seniortribute.photo_113.image,Team Profile,SeniorTributeSection,Leader,113_imgSeniorTributePhoto,SeniorTributePhotoImage13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SeniorTributePhotoCaption13,max 85,seniortribute.photo_113.caption,Team Profile,SeniorTributeSection,Leader,113_txtSeniorTributePhotoCaption,SeniorTributePhotoCaption13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SeniorTributePhotoImage14,,seniortribute.photo_114.image,Team Profile,SeniorTributeSection,Leader,114_imgSeniorTributePhoto,SeniorTributePhotoImage14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SeniorTributePhotoCaption14,max 85,seniortribute.photo_114.caption,Team Profile,SeniorTributeSection,Leader,114_txtSeniorTributePhotoCaption,SeniorTributePhotoCaption14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SeniorTributePhotoImage15,,seniortribute.photo_115.image,Team Profile,SeniorTributeSection,Leader,115_imgSeniorTributePhoto,SeniorTributePhotoImage15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SeniorTributePhotoCaption15,max 85,seniortribute.photo_115.caption,Team Profile,SeniorTributeSection,Leader,115_txtSeniorTributePhotoCaption,SeniorTributePhotoCaption15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SeniorTributePhotoImage16,,seniortribute.photo_116.image,Team Profile,SeniorTributeSection,Leader,116_imgSeniorTributePhoto,SeniorTributePhotoImage16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SeniorTributePhotoCaption16,max 85,seniortribute.photo_116.caption,Team Profile,SeniorTributeSection,Leader,116_txtSeniorTributePhotoCaption,SeniorTributePhotoCaption16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{SeniorTributeFromUnderclassmenSectionTitle}},required; min 1; max 50,seniortributefromunderclassmen.section.title,Team Profile,SeniorTributeFromUnderclassmenSection,"Leader, Staff",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
